"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Colombia","All sexes Adults (15+) estimate","1992","UNAIDS_Spectrum Estimates_","Number","24606",""
"Colombia","All sexes Adults (15+) estimate","1991","UNAIDS_Spectrum Estimates_","Number","18652",""
"Colombia","All sexes Adults (15+) estimate","1990","UNAIDS_Spectrum Estimates_","Number","13614",""
"Colombia","All sexes Adults (15+) lower estimate","2014","UNAIDS_Spectrum Estimates_","Number","94038",""
"Colombia","All sexes Adults (15+) lower estimate","2013","UNAIDS_Spectrum Estimates_","Number","93101",""
"Colombia","All sexes Adults (15+) lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","92935",""
"Colombia","All sexes Adults (15+) lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","92773",""
"Colombia","All sexes Adults (15+) lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","93710",""
"Colombia","All sexes Adults (15+) lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","94488",""
"Colombia","All sexes Adults (15+) lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","94865",""
"Colombia","All sexes Adults (15+) lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","94705",""
"Colombia","All sexes Adults (15+) lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","94213",""
"Colombia","All sexes Adults (15+) lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","94318",""
"Colombia","All sexes Adults (15+) lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","94177",""
"Colombia","All sexes Adults (15+) lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","93737",""
"Colombia","All sexes Adults (15+) lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","92821",""
"Colombia","All sexes Adults (15+) lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","91529",""
"Colombia","All sexes Adults (15+) lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","89835",""
"Colombia","All sexes Adults (15+) lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","85881",""
"Colombia","All sexes Adults (15+) lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","79608",""
